Mes,Encuestadora,Aprueba,Desaprueba
08/20,Enkoll,58,36
08/20,El Universal/tel,53,36
07/20,El Financiero/tel,58,37
06/20,BGC/tel,58,40
06/20,El País/tel,68,32
06/20,El Financiero/tel,56,42
06/20,Varela y Asoc/tel,59,38
05/20,El Financiero/tel,60,37
05/20,Buendia y Laredo/tel,58,27
04/20,El Financiero/tel,68,29
03/20,GEA-ISA,47,46
03/20,Parametraa/tel,54,42
03/20,El Financiero/tel,60,37
02/20,Reforma,59,35
02/20,Varela y Asoc/tel,59,38
02/20,Demotecnia/tel,62,29
02/20,Buendia y Laredo,62,28
02/20,El Financiero/tel,63,34
02/20,Enkoll,67,25
02/20,Parametria,63,33
02/20,El Universal,57,30
01/20,El Financiero/tel,71,28
01/20,Parametria,68,28
12/19,El Financiero/tel,72,27
12/19,BGC/tel,61,38
12/19,Parametria,77,23
11/19,Buendia y Laredo,67,23
11/19,Enkoll,72,22
11/19,GEA-ISA,57,38
11/19,Reforma,68,31
11/19,El Financiero/tel,68,31
11/19,Demotecnia/tel,68,25
11/19,El Universal,59,23
11/19,Parametria,75,21
11/19,Varela y Asoc/tel,63,33
10/19,El Financiero/tel,67,31
10/19,Enkoll,78,18
09/19,El Financiero/tel,68,30
09/19,GEA-ISA,61,30
09/19,Demotecnia/tel,71,20
09/19,Parametria,75,21
08/19,Enkoll,73,19
08/19,Varela y Asoc/tel,67,29
08/19,El Financiero/tel,67,32
08/19,El Universal,69,20
08/19,Buendia y Laredo,71,18
08/19,Indemerc/tel,77,23
07/19,BGC/tel,70,27
07/19,El Financiero/tel,66,32
07/19,Reforma,70,29
07/19,Parametria,78,18
06/19,GEA-ISA,66,27
06/19,El Universal,72,18
06/19,El Financiero/tel,66,32
06/19,Parametria,80,20
05/19,Varela y Asoc/tel,67,25
05/19,Parametria,75,20
05/19,Demotecnia/tel,70,21
05/19,Buendia y Laredo,72,15
05/19,Enkoll,70,23
05/19,Consulta,60,35
05/19,Arcop,70,17
05/19,BGC/tel,70,25
05/19,El Financiero/tel,67,32
04/19,El Financiero/tel,70,29
04/19,Parametria,83,15
03/19,GEA-ISA,64,25
03/19,El Universal,79,11
03/19,Reforma,78,18
03/19,Demotecnia/tel,80,14
03/19,El Financiero/tel,78,19
03/19,Parametria,82,16
02/19,Parametria,86,8
02/19,Buendia y Laredo,85,9
02/19,Enkoll,85,12
02/19,Consulta,67,28
02/19,BGC,82,16
02/19,El Financiero/tel,83,14
01/19,Parametria,85,8
01/19,BGC/tel,76,21
01/19,El Financiero/tel,82,16
12/18,Parametria,83,8
12/18,GEA-ISA,59,21
12/18,El Financiero/tel,77,19
11/18,Parametria,69,21
11/18,Consulta,62,35
11/18,Enkoll,71,26
11/18,Reforma,63,21
11/18,El Universal,55,18
11/18,Buendia y Laredo,78,19
10/18,Enkoll,75,25
09/18,GEA-ISA,56,29
08/18,El Universal,64,12
08/18,Parametria,71,12